,AGSTATS_ID,Action,Info Source,Donor,Implementer,Country (recipient),"Type of Support (Global, Regional, National)",Region,Yr Start,Yr Finish,Budget (USD),Project Title,Project Type,allocated_country,project_symbol,baby (0 = parent),GS/VoH/CARD
127,1,ok,IADB,IADB,IADB,Peru,National,LAC,2014,2019,"15,000,000",PROJECT TO IMPROVE THE AGRICULTURAL STATISTICAL INFORMATION SYSTEM AND THE AGRICULTURAL INFORMATION SERVICE FOR RURAL DEVELOPMENT IN PERU,Information System ,1,NA,NA,0
51,2.a,GS,A&P Plan,UK,FAO,"Afghanistan, Cambodia, Myanmar, Pakistan, Papua New Guinea",Regional,Asia & Pacific,2012,2016,"1,031,250",Global Strategy Technical Assistance - Group I ,Capacity Development,1,MTF /RAS/372/MUL,1,1
55,2.b,"GS, ok",A&P Plan,UK,FAO,"Bangladesh, Indonesia, Lao PDR, Mongolia, Sri Lanka, Viet Nam",Regional,Asia & Pacific,2012,2016,"990,000",Global Strategy Technical Assistance - Group II,Capacity Development,1,MTF /RAS/372/MUL,1,1
59,2.c,"GS, ok",A&P Plan,UK,FAO,"Bhutan, China, Fiji, Georgia, Maldives, Samoa, Tonga",Regional,Asia & Pacific,2012,2016,"866,250",Global Strategy Technical Assistance - Group III,Capacity Development,1,MTF /RAS/372/MUL,1,1
110,2.d,"GS, ok","FAO, PRESS","BMGF (49.9%), UK (49.9%), Italy (0.2%)",FAO,Global,Global,Global,2012,2017,"12,076,112",Global Component- Global Strategy to Improve Agricultural and Rural Statistics,Capacity Development ,0,MTF /GLO/372/MUL,NA,1
35,2.e,"GS, ok",FAO,"BMGF (50%), UK (50%)",FAO,Regional Africa,Regional,Africa,2013,2017,"7,081,669",African Development Bank- Regional Component in Africa- Global Strategy to Improve Agricultural and Rural Statistics,Capacity Development,0,MTF /RAF/372/MUL-AFDB,NA,1
23,2.f,"GS, ok",FAO,"BMGF (50%), UK (50%)",FAO,Regional Africa,Regional,Africa,2013,2016,"3,666,254",Global Strategy - UNECA component,Capacity Development,0,MTF /RAF/485/MUL - ECA,NA,1
65,2.g,"GS, ok",FAO,UK,FAO,Regional Asia & Pacific,Regional,Asia & Pacific,2013,2017,"1,259,984",Global Strategy - UNESCAP component,Capacity Development,0,MTF /RAS/485/MUL - ESCA,NA,1
82,2.h,GS - subtracted A&P countries,"FAO, PRESS",UK,FAO,Regional Asia & Pacific,Regional,Asia & Pacific,2012,2017,"574,807",Asian Regional Component- Global Strategy to Improve Agricultural and Rural Statistics,Capacity Development,0,MTF /RAS/372/MUL,0,1
105,2.i,"GS, ok","WB, PRESS",WB,CISSTAT,Regional CIS,Regional,CIS,2015,2015,"500,000",Development of agricultural and rural statistics - ECASTAT,Capacity Development,0,NA,NA,0
103,2.j,"GS, ok","FAO, PRESS","Italy (44.4%), UK (55.6%)",FAO,Regional CIS,Regional,CIS,2012,2017,"88,000",CIS Regional Component- Global Strategy to Improve Agricultural and Rural Statistics,Capacity Development,0,MTF /RER/372/MUL,NA,1
126,2.k,"GS, ok","FAO, PRESS","Italy (35.7%), UK (64.3%)",FAO,Regional Latin America,Regional,LAC,2012,2017,"140,000",Latin America Regional Component- Global Strategy to Improve Agricultural and Rural Statistics,Capacity Development,0,MTF /RLA/372/MUL,NA,1
129,2.l,"GS, ok","FAO, PRESS","Italy (44.4%), UK (55.6%)",FAO,Regional Near East,Regional,Near East,2012,2017,"90,682",Near East Regional Component- Global Strategy to Improve Agricultural and Rural Statistics,Capacity Development,0,MTF /RAB/372/MUL,NA,1
40,3,ok,"FAO, PRESS ",EU,FAO,South Sudan,National,Africa,2013,2016,"11,162,587",Agriculture and Food Information System for Decision Support (AFIS),Information System ,1,GCP /SSD/003/EC,NA,0
42,4,ok,"FAO, PRESS ",EU,FAO,Sudan,National,Africa,2012,2016,"10,455,088",Food Security Policy and Strategy Capacity Building Programme,Information System,1,GCP /SUD/038/EC,NA,0
130,5.a,ok,"FAO, PRESS ",EU,FAO,Yemen,National,Near East,2013,2016,"7,822,799",Food Security Information System,Information System ,1,GCP /YEM/035/EC,NA,0
131,5.b,ok,PRESS ,EU,FAO,Yemen,National,Near East,2013,2016,"3,983,006",Yemen Food Security Information System 2009,Information System ,1,NA,NA,0
18,6.a,"CSTAT, ok","FAO, PRESS",Congo,FAO,Congo,National,Africa,2014,2017,"7,652,667",Recensement General de l`Agriculture (RGA) et CountrySTAT,Capacity Development,1,UTF /PRC/014/PRC,NA,0
29,6.b,"CSTAT, ok",FAO,FAO,FAO,Madagascar,National,Africa,2014,2015,"54,466",Appui a la mise en ouvre et au developpement du système CountrySTAT a Madagascar,Capacity Development,1,TCP/MAG/3502 BABY01,1,0
107,6.c,"CSTAT, ok",FAO,FAO,FAO,"Uzbekistan, Turkey, Turkmenistan, Tajikistan, Pakistan, Kazakhstan, Kyrgyz Republic, Iran, Azerbaijan, Afghanistan",Global,Global,2012,2015,"258,996",Support for the implementation and development of the CountrySTAT framework in the Economic Cooperation Organization (ECO) countries,Capacity Development,1,TCP/INT/3401,NA,0
48,6.d,"CSTAT, ok","FAO, PRESS",BMGF,FAO,"Zambia, Uganda, Tanzania,  Senegal, Rwanda, Nigeria, Mozambique, Malawi, Mali, Kenya, Ghana, Ethiopia,Cameroon, Cote d'Ivoire, Benin, Burkina Faso, Angola",Regional,Africa,2011,2016,"6,929,304",CountrySTAT for Sub-Saharan Africa: Strengthening the CountrySTAT System established in 17 Sub-Saharan African Countries - Phase II of GCP/GLO/208/BMG  (Grant OPPGD1452),Capacity Development,1,MTF /GLO/345/BMG,NA,0
,6.e,"CSTAT, ok",FAO,FAO,FAO,"Uzbekistan, Turkey, Turkmenistan, Tajikistan, Pakistan, Kazakhstan, Kyrgyz Republic, Iran, Azerbaijan, Afghanistan",Global,Global,2015,2016,"90,000","Support for the implementation and development of the CountrySTAT framework in the Economic Cooperation Organization (ECO) countries, Phase II of TCP/INT/3401",Capacity Development,1,TCP/INT/3506 ,NA,0
21,7,ok,"FAO, PRESS",EU,FAO,Cote d'Ivoire,National,Africa,2014,2016,"6,916,113",Appui et assistance technique de la FAO a la mise en oeuvre du Recensement des exploitants et exploitations agricoles (REEA) ,Data Collection,1,GCP /IVC/033/EC,NA,0
,8,added 07/03,FAO,USA,FAO,Bangladesh,National,Asia & Pacific,2015,2018,"6,456,087",Strengthening National Forest Inventory and Satellite Land Monitoring System in support of REDD+ in Bangladesh,Capacity Development,1,GCP /BGD/058/USA,NA,0
,9,added 07/03,FAO,FAO,FAO,Chile,National,LAC,2015,2019,"6,293,684","Integrated National Monitoring and Assessment System on Forest Ecosystems (SIMEF) in support of policies, regulations and SFM practices incorporating REDD+ and biodiversity conservation in forest ecosystems (FSP)",Information System,1,GCP /CHI/032/GFF,NA,0
54,10.a,"AMIS, ok",FAO,BMGF,FAO,Bangladesh,National,Asia & Pacific,2014,2016,"846,935",Strengthening Agriculture Market Information Systems in Bangladesh,Capacity Development,1,MTF /GLO/359/BMG BABY02,1,0
112,10.b,"AMIS - global component, ok","FAO, PRESS",BMGF,FAO,Global,Global,Global,2012,2017,"5,637,513",Strengthening Agricultural Market Information Systems (AMIS) globally and in selected countries (Bangladesh/India/Nigeria) using innovative methods and digital technology ,Capacity Development,0,MTF /GLO/359/BMG,0,0
68,10.c,"AMIS, ok",FAO,BMGF,FAO,India ,National,Asia & Pacific,2015,2016,"884,374",Strengthening Agricultural Market Information Systems in India using innovative methods and digital technology (Baby Project),Capacity Development,1,MTF /GLO/359/BMG BABY01,1,0
34,10.d,"AMIS, ok",FAO,BMGF,FAO,Nigeria,National,Africa,2014,2016,"608,600",Strengthening Agriculture Market Information Systems in Nigeria using innovative methods and digital technology (Baby Project),Capacity Development,1,MTF /GLO/359/BMG BABY03,1,0
86,10.e,"AMIS, ok","FAO, PRESS",Japan,FAO,"Philippines, Thailand",Regional,Asia & Pacific,2012,2016,"1,005,198",Strengthening Agricultural Market Information in Thailand and the Philippines - Regional Component,Capacity Development,1,MTF /RAS/359/JPN,0,0
113,10.f,"AMIS, ok",FAO,Japan,FAO,"Philippines, Thailand",Regional,Asia & Pacific,2012,2015,"412,572",Strengthening Agricultural Market Information in Thailand and the Philippines - Global Component,Capacity Development,0,MTF /RAS/359/JPN BABY01,1,0
77,11,ok,PRESS ,EU,"WFP, FAO",Nepal,National,Asia & Pacific,2011,2018,"5,422,692",Support to the Institutionalizing of the Nepal Food Security Monitoring and Analysis System (NeKSAP) in Nepal - To provide technical support to the Central Bureau of Statistics (CBS) ,Information System,1,NA,NA,0
39,12,FPMIS - ESA?,PRESS ,EU,FAO,Somalia,National,Africa,2013,2017,"5,310,674","Economic Development Programme for Growth and Resilience, Phase III - Support to the Food Security & Nutrition Analysis Unit for Somalia Phase VII",Capacity Development,1,GCP / SOM/051/MUL,NA,0
52,13,"EU, ok",PRESS ,EU,EU,Afghanistan,National,Asia & Pacific,2013,2016,"5,277,483","Afghanistan Rural Governance and Development Programme 2010 - Production of 2 consecutive rounds of the national risk and vulnerability assessment, and provision of technical support to the Central Statistics Organization done in Afghanistan",Capacity Development,1,NA,NA,0
,14,added 07/03,FAO,Germany,FAO,"Algeria, Argentina, Bhutan, Chile, Colombia, Ghana, Kyrgyzstan, Lao PDR, Morocco, Mozambique, Peru, Philippines, South Africa, Tajikistan, Thailand, Tunisia, Uruguay, Zambia",National,Global,2013,2016,"5,235,598",National Forest Monitoring and Information System for a transparent and truthful REDD-plus,Capacity Development,1,GCP /GLO/456/GER(BMU),NA,0
49,15,ok,GS MTE; JICA,Japan,Japan,Tanzania,National,Africa,2011,2015,"5,000,000",Agricultural Routine Data System (ARDS); Project for Capacity Development for the ASDP Monitoring and Evaluation System Phase 2,Capacity Development,1,NA,NA,0
10,16,ok,"FAO, PRESS",EU,FAO,Chad,National,Africa,2013,2017,"4,966,574",Appui a la mise en place d`un Systeème d`Information durable sur la securite alimentaire et d`alerte precoce,Information System ,1,GCP /CHD/038/EC,NA,0
109,17.a,ok,"FAO, PRESS",UK,FAO,Global,Global,Global,2013,2017,"4,844,425",VoH-Voices of the Hungry - 2 (203728-101),Information System,0,GCP /GLO/450/UK,NA,1
108,17.b,ok,FAO,Belgium,FAO,Global,Global,Global,2013,2017,"1,800,000",FMM support to SO 1 - OO3 (MTP 2014-2017) Voices of the Hungry,Information System ,0,FMM/GLO/106/MUL,NA,1
,18,added 07/03,FAO,Norway,FAO,Global,Global,Global,2014,2017,"4,587,758","Space Data Management System (SDMS) -  Acquire, Query, Process and Deliver Earth Observation Data and Forest Information Products to Developing Countries.",Capacity Development,0,GCP /GLO/537/NOR,NA,0
44,19,ok,USDA,USA,USDA,Tanzania,National,Africa,2012,2022,"4,000,000",Annual Agricultural Sample Survey,Data Collection,1,NA,NA,0
,20,added 07/03,FAO,Ethiopia,FAO,Ethiopia,National,Africa,2014,2016,"3,915,348",Implementation of a national forest monitoring and MRV system for REDD+ readiness in Ethiopia,Information System,1,UTF /ETH/086/ETH,NA,0
,21,added 07/03,FAO,EU,FAO,Global,Global,Global,2015,2022,"3,837,719",Improving global forest management through improved global forest information,Information System,0,GCP /GLO/665/EC,NA,0
60,22,ok,"FAO, PRESS","Australia (24%), Sweden (38%), USA (38%)",FAO,Cambodia,National,Asia & Pacific,2013,2015,"3,750,000",First National Census of Agriculture,Data Collection,1,GCP /CMB/040/MUL,0,0
3,23,ok,PRESS ,EU,EU,Burundi,National,Africa,2013,2017,"2,920,871",Programme pour la Securite Alimentaire et Nutritionnelle au Burundi  ,Capacity Development,1,NA,NA,0
53,24,"EU, ok",PRESS ,EU,EU,Afghanistan,National,Asia & Pacific,2014,2016,"2,786,254",EU Support to Agriculture in Afghanistan in Transition,Capacity Development,1,NA,NA,0
104,25,ok,"FAO, PRESS ",EU,FAO,Tajikistan,National,CIS,2011,2015,"2,541,702",Support to Strengthening of the National Food Security Information System,Information System,1,GCP /TAJ/007/EC,NA,0
,26,added 07/03,FAO,USA,FAO,Pakistan,National,Asia & Pacific,2011,2016,"2,317,617","Agricultural Information Systems - Building Provincial Capacity for Crop Estimation, Forecasting and Reporting based on the Integral Use of Remotely Sensed Data",Capacity Development,1,GCP /PAK/125/USA,NA,NA
27,27,ok,"FAO, PRESS",Japan,FAO,"Benin, Cote d'Ivoire, Ethiopia, Ghana, Kenya,Madagascar, Nigeria, Senegal, Uganda",Regional,Africa,2013,2018,"2,146,647",Strengthening Agricultural Statistics and Food Security Information in CARD Countries through South-South Cooperation,Capacity Development ,1,GCP /INT/161/JPN,NA,1
100,28,ok,USDA,USAID,USDA,Georgia,National,CIS,2013,2017,"2,011,000",Georgian Agricultural Policy Initiative,Capacity Development,1,NA,NA,0
95,29,ok,ADB,ADB,ADB,"Lao PDR, Philippines, Thailand, Viet Nam",Regional,Asia & Pacific,2013,2016,"2,000,000",Regional Capacity Development Technical Assistance (R-CDTA 8369): Innovative Data Collection methods for Agricultural & Rural Statistics (Research),Capacity Development,1,NA,NA,0
41,30,ok,FAO,WFP,FAO,South Sudan,National,Africa,2013,2015,"1,830,540",Partnership to Stregthen the GRSS Institutional Capacity on Food Security Information Systems: A Component of the National Strategic Food Reserve,Information System ,1,OSRO/SSD/301/WFP,NA,0
99,31,ok,USDA,USA ,USDA,Georgia,National,CIS,2006,2016,"1,750,000",Agricultural Statistical Data Collection and Analysis Project,Capacity Development,1,NA,NA,0
50,32,ok,AfDB,"AfDB (71.8%), FAO (28.2%)",AfDB,Cabo Verde,National,Africa,2014,2016,"1,670,938",Recensement Général de l’Agriculture (RGA) 2014-2016,Data Collection,1,NA,NA,0
,33,ok,IADB,IADB,IADB,Regional Latin America,Regional,LAC,2015,2018,"1,150,000",Development of Methodology for the Implementation of agricultural statistics,Capacity Development ,0,,NA,0
14,34,ok,"FAO, PRESS",Italy,FAO,"Burkina Faso, Chad, Niger, Mali, Mauritania",Regional,Africa,2014,2016,"1,001,877",Strengthening the Capacity to Monitor Food Insecurity in the Sahel,Capacity Development ,1,GCP /GLO/540/ITA,NA,0
5,35,ok,"FAO, PRESS",Italy,FAO,"Burundi, Kenya, Uganda, Tanzania, Rwanda",Regional,Africa,2011,2015,"1,000,000","Strengthening capacity of selected member countries of the East African Community in agricultural statistics for food security - Burundi, Kenya, Uganda, Tanzania and Rwanda",Capacity Development,1,GTFS/RAF/465/ITA,NA,0
25,36,ok,"FAO, PRESS",BMGF,FAO,Ethiopia,National,Africa,2011,2015,"997,295",Support for the Improvement of the Agricultural Statistics in Ethiopia,Capacity Development,1,MTF /ETH/078/BMG,NA,0
,37,added 07/03,FAO,Angola,FAO,Angola,National,Africa,2008,2016,"1,917,439","National Forestry Resources Assessment: Building Partnerships, National Capacity and Institutional Strengthening for Forest and Trees Resources Monitoring in Angola",Capacity Development,1,UTF /ANG/040/ANG,NA,0
128,38,ok,FAO,EU,FAO,Lebanon,National,Near East,2014,2016,"870,329",Support to the MoA in strengthening and modernizing the Agricultural Statistics System,Capacity Development,1,GCP /LEB/023/EC,NA,0
,39,added 07/03,FAO,EU,FAO,Global,Global,Global,2013,2017,"861,040",SIGMA: `Stimulating Innovation for Global Monitoring of Agriculture and its Impact on the Environment in support of GEOGLAM`,Capacity Development,0,GCP /GLO/449/EC,NA,NA
124,40,ok,USDA,USA,USDA,Haiti,National,LAC,2012,2017,"819,264",Technical Services Under the Economic and Food Security Program to Revitalize and Modernize the Haitian Agricultural Sector,Capacity Development,1,NA,NA,0
98,41,ok,USDA,USAID,USDA,Armenia,National,CIS,2014,2017,"800,000",Support of the Agricultural Census of Armenia,Data Collection,1,NA,NA,0
